VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
vHcy,4,7.8383,2,um,kKBesKXg,1,2,1,2,8,3.8899,2,4,VXiF,Ujvz,1,1,1,1.78898
2.98274,bNdwNeL,5,3.588,1,7.1881,2,7,VPGbO,dbs,dlxYArbdU,2.06147,1.57947,1,lDgG,1,tWP,2,9,1
1,DTqWutQ,8.4225,1.591,1,mKOdjGdG,3.57,7.85191,UmjuF,2.71,2.97,2,2.70142,3,2.0624,1.63,OAV,cqG,7,2.22629
1,YxdbprL,4,1,1,1.7269,1,CiGzjnaWat,4,1.42,8.29,1,4.05214,4,KaQh,1,1.7647,rDh,2.48883,1.62682
3.22537,ORXxDbV,2.9623,GFYv,ss,7,2,wOILuAaHRH,VQSlE,1.93,brWlxRBwO,2.03808,4,3,XcgW,3.34,1,2.57,1.74425,Ehx
Jtoq,lQqPiAm,7,2.373,1,6,2,aTgeokTVbq,2,WRx,8.26,XovU,1,1.63702,3.0395,1,MUJ,2,AJTXnColsl,2.91453
xWZl,5.466,WPIIumsae,1,1,2,3,8.28468,XCTGx,Rlc,7.69,sFBZ,XusGM,1.1243,1,2.16,Fcr,xky,7,UlV
3,3.18,1,POzX,AD,3.6764,GDHq,6.40542,GVEGr,1.42,6.49,CXFs,4.24604,1,2,3,2.882,2.91,1.55616,2
3,1.611,6,2,We,7,1,rvmufeYZWx,tRewW,2.28,MyQjGKxGi,3,2,2.47833,1,eRWQ,aAm,1,3.57817,1
2.82024,GSXNOnR,8.5874,2.65,1.37851,6.914,1.88,5,YSxTD,2.06,Wlpwpphml,bXDo,2,2,LsXs,3.39,xPV,2.63,3,1.52027
2.86214,BkwMvzs,maEmfIjxE,ejyp,1,ABktXrtu,1,9,4.358,1,kaGxubAbk,3.56726,3,4,1,3,2,1,2,kew
dPTz,3.278,3.6916,1,1,5,1.4,YagxdXfKGD,4,1,6,1,4,sqiCX,MkDq,WpxR,2,2.1,6,Mld
2.94479,lUHZzgR,oZMeXPtaJ,2.05,1,1.9924,3,5.26804,clxgY,2,3.3,RNAo,4.25076,TTXWL,1,zflL,2,2.57,7,Gbv
2.97851,3,gOrQeewiH,vMQW,1.18147,UbpAmwcl,1.87,7.60693,FhPzf,1.79,yGBhBYfOZ,kGVL,1,1,1,3,1.6611,MAn,1,2
EJGc,ELdwrOy,zinoDuNIf,ufZy,1,uDYhjSPD,zbEF,UsyQjheAPt,3,2.1,fYSaBGrxk,1.30513,3,1,ckFX,1.15,osz,1.63,6.8139,RhX
3,3.338,2.0413,3,EA,3.3089,3.47,2.05044,2.058,2.42,2.6,xxOD,1.87242,3.12039,2,3.86,2.8899,1,4,1.63226
3.70703,3.834,5,3.714,1,7,1,1,4,1.69,LKAfNMLPJ,pQqZ,3,AiPhG,2.6822,3.61,SrE,uWD,6,2
3,3,1.6875,1,1,ndRDnMYy,ZGcz,JSrTIzOIyq,2,VsE,2,1,1,EeqmL,3,2,kMG,2.9,SIZWdDhSHg,1
3,cvnWScV,MlDvsgsdF,2.558,fs,MxRmiKXp,3.92,7,2,1,4.33,2,2,3,1,zlAF,2,2.8,xfxTBytMKs,JZL
1.52642,SMimyAL,pKqHVApCz,1,1.51692,NfGakwVn,2,AzwJbMHhwp,4,jnr,1,1,sjaHT,4.93784,2.0014,3,bJl,1,FIeZkUDzYP,aGa
tRes,gcTwXYU,6.6927,2,1.94642,7,rXob,1.02125,JjEoN,1,7,2.48441,4.787,CMsXZ,2.9777,2,1,1,EYLOVvMaNe,1.90108
1.75301,tUeYdYw,6,3.752,1.36462,4.332,1,3,hEXFi,2.99,6,2.69557,2.18505,1,2,2,2,2,3,1
QBKy,5.408,7.1375,3,1,SVaZHJvF,2,6.22724,3,1,kczLFmnih,3.40445,4.30607,HohaQ,1.9316,FucG,RBm,1,7.12039,ENP
1.65319,4,7.5568,2,cM,5,YkzD,9,1,TEu,2.57,1,2,CfATW,1.684,1.14,1,2.38,6.35379,rHN
3,aQvwPQo,1,2.696,1.78849,5,1,9,1.288,2.36,pqTdLlICK,tFTf,1.34217,JGkCr,3.8851,2.48,MUT,2,4,1.84874
ZGrk,smgDCyu,8.5126,3,1,4.8143,2.29,2.36014,1,1,1.15,1.7898,mdpxq,1.43826,1,2,2,1.26,QjUIakdWRF,Nvb
1,EpDtHgz,7.0978,2.347,1.11722,UwdOqxQz,3,ONARdwOTai,kAyGB,FcH,7,3.07396,4.86571,1.38832,2.7965,3,TyP,CkK,8.67836,xNa
2.4974,4,prWVCEAct,3.088,1.45503,3.0084,rrlQ,tabIiiGNSp,1.699,UDF,5.03,3.53385,1,1,3,3.29,RwL,NOW,CbecQAZgbJ,1.05187
1.75134,5.147,3,3,1,xHOafLiv,1,6,2,obs,cWqipqNJe,iWVF,3,oRUMx,aMTh,2.95,2,2,9,PXS
VgQB,4.715,7.4143,3,1.30634,3.6281,VXDG,xcRZUiosdp,BZbyj,NOQ,NDwnwWkaC,1,4,DvOxN,EcjQ,2.62,CVL,HYB,AAZvjQfsvH,zEE
3.9808,iLscgth,8,ppVc,1,5,2,9.09447,2.558,uOv,8,3.21179,1.74279,2,aBoN,1,iZz,lat,2.68289,Hkc
3,1,LVVASuMgu,lCyT,1.70055,HapHAHBg,2,4,4.599,2,2.79,2.95781,yegxB,2.83172,1,DaBS,2,QyY,5.52693,1.33454
3.72869,3.32,5.5867,3.89,1.39238,5.2162,1.46,mKOWJrcSoL,2.189,IKW,4,3.5173,1,3,1.674,PwrJ,SNe,tlC,8.32322,2.44405
iNZO,PJAUcxL,3,1.039,1.48031,mgllCaJp,gOmP,8.52609,FMFMW,zDK,8,1,3.06419,4.16608,hUoI,QgKM,AmC,1.92,2.31881,2
mOoE,3.81,ClnKMnIkX,vZCf,1.91089,1.6207,2,RxERPHailL,3.65,2.84,8.02,FerJ,dNhjJ,MfwrA,1,2.66,2,HoY,vCebRlRBxV,1.27449
1,TmJRsXw,yySmtMzIy,2,wF,2.3952,2.83,pnHnjjEmBg,4,WCc,7.21,2,ZERbx,2.23812,3.7555,qNmZ,2,2.85,ipmjYPpbVY,1
2,2.764,7,MyJp,1.11985,1,1,8,2,2.02,Kgbgiokrv,nkXz,BsenK,4.62713,1,1,1.8989,1,2.61626,RIN
2,1,aoalWkSTT,3.284,1,rhrecdRf,GULK,8,vroBK,2.51,8,BTow,XvWVT,1.18037,1,2.64,2,YDs,4.66972,qVv
3.52044,3.188,8.7859,2,1,jdlWPcIO,2,NTKXWviHzL,2,wFG,OSVYmkuCP,3,1.30388,3,2,XEAH,1,2.82,UsoNTvILjv,1.94324
1,3,2.7977,3.24,1,3,PySt,5,3,1,6.49,1,bTMje,3.63409,2.3746,GpWl,cXM,2.15,EUAUdPFDsT,2
1,5,1.9953,2.521,CG,CeyPhJQW,2,6,1,2.08,2,3,3,2.24563,2,1.58,1,KsS,GujLrqIssL,tAJ
wdnr,4,6.0478,1.18,Yg,bTaYefgz,1,5,IymiT,2.19,7,3,2,2,3,xrqG,zWC,1.97,itIfoSmkuy,1
2,1.89,5.1417,1.565,1,PJckTNtf,3.29,5,aLaIo,2,XBFpDadHS,eLLg,sBKaD,4,1,1,2,PGg,7.77678,2.87194
1.00265,4,yYCvJQpdd,3,RG,1.7735,1.54,8,sKoQr,2.88,7.95,2.95641,AeLYr,nbzON,3.6841,3.71,2,JuE,lOWKIhrbUy,1
XiEs,2.046,XbgcToiGw,3.181,Vm,OHcrOUqR,cftx,2,2,1,7.6,3.13685,3,4.57218,1,3.89,1.0285,yMs,1,2.12864
SOTZ,oeQqClH,8,1,zA,1,ftYp,7,4.96,1.88,6,fJPZ,3.5708,3.20171,3,3,1.8756,1,5,1.11772
FEPI,2,5.6404,3.062,lV,ecmtTNba,qHFd,rkGKLpZLox,1.627,2,ekwKTaCkW,1.27362,3,4.30896,VaDZ,ztvq,LGL,1.52,4,1.45324
hTZi,4.649,2.0317,2,1.11854,1.2375,ZXYw,1.96275,3,1.58,qIxkNCrcS,1,2.75681,1.39096,3,AUpf,2,Rhx,1.30509,WRW
3,5,6,1.412,1.56763,quTXAlmL,MJqe,9,QRjAA,1.58,5,1,1.37217,2,mnfU,2,1.9228,1,7,1
2.60318,6.457,AdyTSTUWv,3,1,3,3.98,YCszLJlYSR,2,2.06,7.9,2.87799,UkFic,3.94544,2.4027,1.11,1.4297,2.34,8.57909,2.83903
xqqt,IyJKEAt,fOEjogpPV,SegB,1.31654,AbtLwvlt,2.49,7.29433,JwGWp,LZz,8,1,nruLY,1,1,1.8,1.3433,1.74,5,1.49135
QZpH,4,5.4888,tkPy,1,3,1,2.27178,ZIWif,kft,XrSBPnQyF,2.98623,1.22059,2.14663,3,1.56,2,2,5.54698,bPc
1.15821,DZTmltb,uEOycutsG,2.825,1,QUGfEsFI,3,6,3,2.67,HzHfNFQUt,cJtB,HtxPE,pWmwS,2,2,1.5505,1,4,1.85532
1.69892,5.126,1.7268,WrFS,1,6.253,DBbp,7.72593,1,2.56,6,3.28687,1.02362,1.48965,3.9091,1,2,2.84,gbPwDXlEeO,1
2.22403,1.411,8.2233,1,1,5.2906,3.53,1.09972,bOSQr,2.6,7,wibt,kqLMk,1,2,3,llf,1.82,LUnhPbPjMO,2.8342
kknv,4,baOipImXn,VCMt,1,lcopNNiZ,1.05,6.39047,DvbXn,oBC,6.81,EjqA,oDzgy,2.38186,Etol,fqIc,imH,2.38,6,ORL
Qeym,WNrQvTE,IScVoLHpE,3,1.34034,gIIpAFXT,UUwk,8,wAaui,2,2,1,1,4.90507,ZJFh,2.29,2.8,1,3,1
pnnh,2.381,AYFeoIvgS,1,1,pcSHjfZY,2,HuGlUoDKlC,2.95,2.83,8,2,1.12028,OgGAp,2,kdyP,1.3676,1.7,3,2
2.50608,WAKBOXv,1.2774,2.575,1.95879,7.9918,2.34,5.71056,4.958,1.02,8.96,3.89921,3.34346,3.00541,2,3,2,2,awUXGGKuqb,1
2.15526,6,HLwSTAasg,2,zr,1,1,6,1,2.78,3.99,1,ZFEtF,2,3.857,QsUQ,1,1,6,2
uITL,1,sIMuvWcBx,mpuM,1,mikzrzga,3.95,9,4.263,2,1.29,oUzw,4.97507,qadeu,1.901,TMIn,1.3729,1.03,FkUPxQJAQl,2.66684
2.8963,1.463,3,WHqr,1.47759,hHnqPeDj,3.92,QIxABzhdVZ,fvSMz,1,1,1,genDq,2,2.261,iBZr,xsX,1.86,yOLkhlKQuN,2.26809
2,LhaxytB,ilLqTVZLO,2,PQ,YLYQNVLz,uVJV,7.34859,4.261,ReE,8,2,2.46442,3,3.6557,tWsh,VJX,2,4.72117,2.86115
3.0706,3,8.5716,1.085,1,qEJcnvVV,bjsl,HeoDhyRrWP,4.535,2.91,7,oHDF,1,3.43498,2.0528,2.35,2.5447,BvH,1,2.85162
1.13627,4.102,UBWsskbXH,2.975,hC,6,2.9,9,HabiU,2,1.75,2.88061,4,pYNvE,MUqp,2.04,ssK,tIx,3,1.00528
QvnW,1,7.8569,2,1.99208,5,pqrr,8,3,2,7.0,1,3.47248,2,3.6857,rRIJ,2.8193,Ddx,4.94997,2.56574
lgno,6,7,2.393,GG,6,3.19,5.75231,4.362,1.27,4,2.29189,jOXdG,1.19826,ahGr,GtuR,1.3268,1.01,8.51874,2.16983
1,ZVhLnnO,1.7212,riLU,PF,nIHcyEPL,3,2,yPUxs,2.76,uYodZubSJ,2.74319,2,1.18637,2,2.12,1.5347,YGY,1,2
3,1.357,1,KTok,dL,7,pNiV,6,2,2,7.64,1.80802,DKsyJ,1,TARb,NJLa,OLd,2.63,1,2.19092
2.76056,hgGrTEH,8,2,1,1.8064,2,vVtIFLvQKv,viild,NTK,tPktUKPhG,3.39195,4,3.15405,QMpi,vhpa,1.8298,1,4.24889,RdA
AhxV,5.804,1.6077,3.44,1.23234,1.0301,1,8.46542,2,2,2,3.32711,lgPZX,3.54723,3.0195,1.36,2.7229,2.04,ijsOydGvdb,2.6467
aWIh,oneCKVu,odGwmzEtu,3,1.88203,7,1,7.12445,1,1,AYjrUfKzb,3.97899,4,4,2,enMT,2,rxK,KZoKMSvSXh,1.99438
1,4.207,VlxaehfOF,1.459,1,4,1.75,2,COKYy,2,3,RCwL,pORLZ,JQWlN,3.2512,3,aua,2,5.9709,1.3325
ORjQ,3,6,2,1.93483,3,1,2,2.178,2.08,7.19,SpRa,2,1.59606,vjJu,1.72,2.8065,EQh,5,shL
dtVA,oSHyQnZ,1.546,RHhH,CY,4.6732,1,3.76936,1.951,1.96,8,1.02721,1,4.85788,2,2.52,1,2,6.66999,1.49838
1,6,1.7505,1,ry,HADEfEIB,YIIw,pXyppekwdc,2.123,cWh,8,VoeT,4,2.16637,eXXM,JgKQ,nCQ,1,eltshiKzXa,pfx
3.87959,5,7.4865,HjRj,Kr,4.7683,3.79,8.82098,1.929,xjd,iVgebSlVB,3,3,4.20374,1.863,WtXp,MWG,1,3.55636,zfu
3.7354,1.405,2,1.685,Xc,cBEgqnqM,TUjg,9.53172,4,2,hbfwvkUuh,FVtl,2,3,EHJz,3,ora,2.92,5.0464,2
1.01781,MYMguCu,TlruuKXxn,3.992,1,2,IbOC,5,4,dmP,4.52,2.82271,2.8254,1,fkaY,2,1,hqR,gUCfGlLFnJ,LNa
1,5,8,Xcdv,1.45688,buDKdhdD,BitM,1.4333,MjrYr,2.06,1,1,4.81266,3.6878,3.086,3,1.0207,2,7,1
3.23927,3.687,7.8823,2.781,we,3.7004,RuWj,4.77783,2,1.12,1,2.54827,4,JFIjX,ijYn,2,ygT,2,8,1.36505
2,bYXeIPc,EUBRrFTaL,1.259,dd,2,3,TjwvJiixCI,cwVBb,2,2,2,1,JnwxT,2,1,2,FVT,xIRvaQmCxK,1.17395
BwKH,AuRfJzj,2.0837,Idle,1,4.0176,1,1,hcigu,2,1,2,3.33848,2,2.8742,2,1.3104,1.69,9.20169,1.76114
2.30049,4,8,3.471,1.19143,7,jwCK,9,1.866,iHQ,2,2,4,HzDfs,1.2246,tuID,2.7898,trb,6.42528,ScK
QVOl,5,uiEDCMcHS,1,hs,4,1.01,1.97703,3.308,1.99,sPymVsXjX,3.92095,1.30551,4,1.8627,1,1,1.94,3.60473,sCx
3.21941,5.037,4.0972,Ehqc,Ei,5.2283,VJGM,9,1,2,6.06,1.34361,4.89744,3.02795,2,ScVd,2.9182,1,lzIlUOXANf,VMJ
wACq,4,4,1.45,TW,wrVeXHlr,1.65,9.24716,2.005,tEb,5.33,1.05985,4.78613,1,3,3.89,CUR,2,1,2.75792
xLrT,2,uoYnICwxi,1,1,7.8539,ENKc,1,2.794,1,lUEABOIhV,1.76887,2.76803,1,1,2.65,mUI,1,7.9236,1.66507
3.40338,5.327,8,AAot,1.68257,cBHZkGDQ,2.86,8.82199,3,1,4.33,1,2.96693,4,2.573,zAeZ,2,2,1.46219,2.96703
2.02969,2,qXrUHunzO,3,jN,7.053,UyEi,4.98339,4.449,1.54,XKmhVNUlB,3,1,PrJGp,odpY,3.48,2.1157,sDK,6,2
3,bySdhdK,lcyyXvldh,2.002,Ou,6.3391,ABzz,7,3.295,2,3.88,1.24304,3.13426,AMtRf,oLbU,OWKf,2,1,vtXpTYpnic,1.54506
1,xZkMgWt,obKmSKYex,2,1,Kglcjxlf,advK,8.74256,1,2.76,6.0,3.24706,4,3.7621,1,1.94,1.8281,1,4.46991,2
3,lFKVENl,oUDrHduza,2,Zx,XTRWUjSZ,2.74,5.15932,3.032,pKu,3,2.60911,1.5509,MqCkY,2,2,2.812,XFv,1,1.40395
2,3.495,dXsFRltQv,3,KU,6,3.13,1,qmXpk,2,7,1,pBhLG,1.36378,1.9064,3,1,1,5.59287,hmE
3,lTfJAwd,RHCCfKLXI,3.8,1,2,LnkJ,2.66562,2.234,1.41,6,LQti,3.6425,4,GRJv,1.2,1,2,8.54188,2.06174
vjgu,2,5.9895,Phug,TV,CnhFFKDh,MgAs,QTzGrblrPn,1,2.03,upMFzVFnL,2,exUUX,3.25869,1,2.04,Iyc,1,9.81551,1
gCTl,5,KoKuyUxJA,1,1.19858,5,iDEL,2,oQHKQ,2.22,gfCeSygNV,3.45274,1.20314,kxKSe,CAAW,3,2,2,9.89488,2
sbMX,tcMcOmv,QSRcieTUE,2.53,wD,SQwouUel,3,1,Qafvp,rWH,mjNoXzRQY,SmPW,eCZFr,PYPTv,1,nfCU,RJt,2,9,2.7985
2,2,smGewFEIS,nOzR,1.64841,1.3967,NSwK,8.85071,3,2.96,3,1,BmfrL,2.50625,1,1,JKb,POe,6,Udw
2.47589,tXMimZS,5.8852,1.915,1,3.267,1.59,9,YAMxR,2.15,fcTNduaYF,1,3,2.66737,3,2,1.3191,2,rLtgzGYCqm,qhq
1.25531,5,xSoreADxz,tBQD,gl,1.9638,3,7.88493,1.7,FyP,5,2,3,2.25209,zpCY,irej,hyq,spj,1,1.55678
3.0526,3,3.3202,3.656,1.5888,7,2,5.26213,3,1.2,msziTkNJg,1.67258,1.14704,gNRQZ,DiWC,2.85,1.0367,1.13,7.77102,2
3,5.635,2.5901,Nkqu,hR,2.0171,2.36,1,GWiWB,2,2,3.76502,4,4.83538,3.8636,2,2,ewJ,4.77142,Hsd
3,2.757,6.1569,ZwLF,tM,1.2209,1,vDEBxvndhl,3,YRd,1,kFAu,4,1.12824,3.8164,3,Muo,1,6,vKa
3.6205,5.181,dNwVIBeAh,opgJ,NY,fvDmXEJO,upFn,7,3,1.27,nJRfExjox,Lqyb,VyTgD,KAiaa,2,pGse,lkz,1.36,OVJIsmBaeH,2.5596
Axie,6,7,frdv,qb,3.7718,3,qCWSLGqXnI,eyipf,1.85,1.94,1,ABWMs,1.9963,Hsxf,IOog,1.8569,1,xRGocfkoYj,1.07547
1.07886,6,JDxUZnuNw,oemf,Wu,5.4294,1.56,5.19036,2,2.46,6.0,1,3,DyZwL,2.5403,3.84,1,jQB,GHMiKUGzVN,cPb
FCoZ,2.777,8.1483,1,1.75576,4.2672,1,1,AjFBF,bFm,4.09,1,3.86458,4,3,tDzi,1,1.09,waJWdmKITq,1
lUwe,QfwTRno,7,1.441,1,1,1,3.52614,4,oBz,5,fdZE,4,1.83677,mqds,qwGL,CTU,2,aeMitgHxKO,1
2.33809,hDdXXJo,6.5172,1.706,1,5.1712,gedg,evUrjtZDhS,1.981,2,8,1.25434,iQIaX,LsLFu,3.0056,2,IwD,2,pZGnHSfCLi,fhF
1,6,2.9587,zAQX,1.41347,5.115,3,7,4.723,beW,3,fOeG,OPfpR,4,ozUc,1,2.6137,1,5,2.36787
1,VBJsuCw,6.2426,1.657,1.27514,5,1,5.75226,3.883,1.83,7,2,jaqcE,4.72969,1,2,MwT,lcD,OwdeSTMAGJ,mxq
2.34147,szJLJVC,lIzMZUWVo,IOQe,1,7.601,xieF,8,4.965,WFJ,NhKxMjqxe,ziPp,4,1,DZLX,1,2,2.19,AeITbAjynB,2
3,RuGXsog,7.1183,bIwo,1.97404,7.9862,1,XCsvCKSkJa,2.944,1.35,8.72,3.1528,BAsnM,1.57761,1.6801,CYtS,AAw,1,7,2.64332
2.72237,5.988,4,iOwt,1.09225,MQaRyaeo,2.78,1.71846,3,2,3,2,4,4.19,nrOc,3,1,mCK,1.05703,twR
3.31585,2.43,8.4678,ePDB,Xc,2,hbAm,iXDRdeVswF,dbAdV,1,5,2,jSFbK,4.20712,aWHd,2.82,QdL,Voh,bYhwmSzfoH,PHa
1,pqbEupG,UHmuaDHat,3,Wa,3,3.37,UtPqtABcEh,2.798,2.87,PpYzBXPxv,2,RqKEc,1.85921,2.9502,2,1.7282,wbn,9,Yiu
sIuY,5.48,5,3,1.74647,6.6322,NqBR,7,4,orM,7,kNyQ,2,uMrCY,kLGt,1,cYB,1,7,1.44845
2.94991,FdPdbEe,LTfbQEzey,2.082,1,QbzZVjUE,snqF,wBBlgTzvDU,1,bem,3.83,1,ShhZd,1,VOap,2,rKN,voJ,dWNbWrjPyg,1.99529
1,3,5.7901,TRJn,sE,2.3159,iuff,qToRKSlzJU,AEayg,vhN,ycbqdTPDY,2,3,mcFCm,2,1,oFn,1.83,5,1
1.67552,3,2,3.051,1,4,2,1,2.839,2,7.78,3.52076,qpfjM,3,3.2316,aogR,2.7661,1.33,jWrGSNCkPv,XyS
BxbQ,lEYMfWQ,6,3.06,1.14738,Gevoptrr,2.75,AGnrnElcri,aXhUr,QKL,7,GFhF,4,1.37007,3,2.98,1.5849,2,9,1
ttca,yyPkGQU,1,borL,1,psaEeDZz,3.17,2,2,2,6.19,ylPr,1,3.12045,cGLP,2,2,ZHX,2,2.65707
1.64769,vsOUXab,5,3.329,1.74976,cnNfkBzw,2.7,9,1,1.57,hoDAdrpGu,1.06901,BGMQA,2,1.0767,fiBH,1,1.28,1,1
2.36326,CbQwdhh,8.6506,bmHR,aP,3.8929,aQRI,4.4836,2.961,Gnb,jcaDJrgSk,BXdD,3.00091,2.31215,3.1407,1.47,2.4334,2,9,CvY
1,ZDBIPcS,6,1.378,1.94065,6.2061,MEiF,qphzcLcmrH,1,1,2.03,3,2,tuOtF,vnVB,fUrV,AQR,sTR,9.93202,1.96594
3,2.121,5.4205,vxKR,kt,4,1,5,4.47,2.64,xXjiYJCva,2.22533,xLoNa,dTRoW,3.3843,bsFO,HHe,1,5.51929,LkD
3.16274,5.302,QIOjDRGHy,1,1.33343,2.8363,3,hVRdKdPxYe,infhS,2.01,4.18,3,3.68671,JawUL,KbAm,2,2,1.38,2.78913,1
IEvW,4,5.1228,mudX,1,4,3,ISePHPShVv,JmWhq,1.69,5.91,iWkC,iHOjV,2.99214,OVOQ,UwGR,CcX,1.3,3,1
1,EmORQyq,4.1308,3.836,1,kWGWlvJI,3,4,2.081,2.88,6.79,2.60012,KXqKV,LVIHV,3.2766,1,1.8814,2,8.29379,1.40861
slDy,1,KeTXvWQWf,2.295,1,4.6413,2.04,OmFGFyFTKU,bvTkw,1.93,5.78,2.50032,jDkQG,xFoac,2.9291,MHQP,1.6462,2.92,KtGZaadBSA,2
amKc,4,7,pZNU,MV,XNlsXROe,3,4.81928,2,JRC,8.48,fvDO,4,2.54156,kPFy,2,vGz,1,9,Wcl
1,5,3.1902,ecSu,1.11689,5,3.95,8,1.866,WiD,5.29,lwxA,3,2.15296,qKAi,3,2.3253,Jym,8,2.4708
MZfS,6,2,2.969,eo,4,3.35,VhNmzIsJrb,fGKOT,1.89,4.8,3,mRDNM,3,2.2137,2.58,1.4153,jyb,9,wMh
2,2.701,EOQYJLYCH,WVFF,1,3.2716,3,8.57835,2.454,XfM,7,3,2.94929,XNNRo,2.4837,UlxZ,2.9379,2.04,3,2
GCAs,6,UENOEyigt,1,1.65542,1,2,nnvHvKfLye,oTAiw,KNe,snBDhCEOD,2.84637,4,2.5036,1,Ayos,2.8313,TcD,1.72821,2.98585
1,2,7,2,1.21809,rinWAouA,2.68,QWmqjZccbd,nPhEU,OfD,2.37,2.11845,1.63269,4,1.7492,1,1.4337,wRI,7.46016,2.34809
XQPC,2,2.8616,sJml,Gb,4,ygRx,3,1.351,1,dkTglWxoG,2.66931,pCgEV,2.63611,2,QOOq,1.4676,2.52,IilzcHtcZh,SpD
3.90553,6,7,zqUL,AT,4,2,CQhEOvdXCn,4.937,zHO,6,3,2.90674,4.9897,2.7755,3.45,ubf,uxG,2,MUW
3,4.346,CSYdrlxBH,Tzrh,1,6,3,5,4.563,1,4.9,3,3.0972,4,3.294,1.7,1.0292,2,4,bbC
2,WqjUztB,NHLDDOJdE,1,1.52714,zUQpMFKS,2.24,2.45716,2.288,1,rlUZPnxpb,2,3.25246,XJNSu,IeZK,lwEU,2,2.8,9.4323,2.854
asUt,3,vGEBVJvEq,1.537,1.58178,oPXgIEAZ,acmc,9.9262,NrSfY,tSN,1,1.00297,2,3,1,HKxG,PNX,1,6.88302,1
mVQq,3.881,1.9354,MvPI,1.03623,qKWOuhOS,GLyz,PZNMbHilpE,4.017,1.16,cMNSUYYIy,1.25841,pXEAN,2.15734,HYth,bLAr,jYY,mmE,OcxAgOQjxr,2
3.69998,1.794,wsHMHpTyw,3.684,EN,4,HASp,8.76005,UXFjI,OEh,5,3.87349,4.86407,3.63335,3,3,1.8821,1,9.11458,2.79237
3.94164,4.524,1.0107,3.021,1,5,2,3,2.461,cmd,7,1.65132,IrSsq,SqJMX,icGZ,1.37,Xwy,2.53,QRjvCxcsQc,1
3.55612,4.192,2,dkxp,1,2,1.53,4.50905,1,1,1,Aowk,XkKkC,2,2,2,2,FFr,UFFDyxpxtp,1.6468
jHwL,2,2.517,TiHD,Cy,riasNyCx,CGfi,1,pqxVo,1.09,5,1,votav,2.41459,3.0203,1.21,2,yGG,5,1
1,6,2.1184,uISl,Dr,6,1,8.79218,zMIuh,sZQ,4,1,3,FwWCW,gnfe,3.91,1.5572,2,5.87924,eNZ
2,haJcMfm,6.996,1,1.42695,7,3,4,zpWUu,1.4,2,vIbi,qZQKP,1,Legt,tIrl,2.9626,1,8.63701,2.3006
2,vReXYQT,6,3.513,1,EPLJRXGJ,3.78,KOAkuoYfBe,3.368,1,4.16,1.08192,1,4.60331,3,3,1,cVz,3,2.62761
2,5.518,2,KLFM,1.2068,5,3,mZBDRKuGIL,2,1.74,1.33,2.04787,2.16833,1.6666,2.9054,XgfR,rWl,2.46,qLGaXKxEuj,qiR
3.37347,1,MNeelCpwz,1,1.0236,2.7953,1,wXmjKaoiLD,4.827,2.19,3.55,3,2.78412,2.46911,zHmJ,WPdE,2.4979,GOc,5,2
Nemq,YoMYgai,5.414,2.903,1,3.1166,2,4.28119,RtiWt,Cnw,3.64,3,XeUDR,2.04504,CROn,2,2,1.04,9.14203,JWz
2,4.426,6,3,1.92155,lOVQpvHN,1,1,3,btB,7.24,1,2.04031,4,2.9842,2,UMY,2,2,1.71232
1.19144,4.199,6.105,1,1.85946,5,1.03,1,2,1.41,irFESHDdW,2.95607,1,2,3.9018,UMAE,pbA,1.82,5,2
1.11984,GfQYYhB,5.8824,UCtg,mF,2.86,2.33,QJqdxSVzBj,2,2.69,3.88,NWKV,4,2.14121,2,2,2.1127,CdK,5,2
1,5,5.514,1,1,4,2,4.60018,1,QlR,1.22,3,CihyS,2,2,1.26,2.2591,2,5.10576,1.8319
3.72885,2,BSmfpQFrB,2,QM,3.17,1.41,1,1,1.5,axWvlNlaU,gcTT,buonZ,3.73339,2,OHpV,1,LmN,8.7988,1.92648
GCpR,2,FCbWYJguz,3.793,ex,5,2.78,iotEvMtTIS,Tuywj,lRm,yzOdsnrLM,1.8685,1.6456,qxwxh,1.7506,1.18,2,1,6,2.02981
3.85395,1,3,BTsQ,1,7.8638,2,8,1,2,5,1,1,3.26145,3.2083,pkiV,2.5171,1.51,qHJkxOUPBt,1
2.20162,3,5,1,iH,1,1,9,2.62,1.34,8.79,3,TNGGH,3,3.7661,DwEs,2,KvJ,KcbGnZLYhD,1.61717
1.35123,5,1,3.237,Qz,5.6392,ailR,4.56689,4,1.24,7,1.53684,3,2,2.694,rfMl,1.221,2.32,9,xJE
ObAK,zNeFgDZ,4,XKyD,1,RJntrmWx,2,4.75409,gcnpM,wvs,6.94,2,4,1.2921,3,3.89,1.189,pGY,5.22751,2.63269
2,lhVWezi,8,2,1,1.7768,2,3.42453,2,2.38,4.14,1.49197,4.9317,uIKaA,2.7913,2.78,2.9788,1.26,3,1.14844
1.42168,4,ZsSwVoDJy,1.721,1.56536,6.4196,2,4,2.94,1.11,3.61,3,bIkBX,3,3,2,2,1,7,1.2796
2.70362,3.225,6,1.814,1,KlEnwYmz,1.36,4,3.491,hCg,ncXUiRcVh,aMeE,4,buTml,2.8201,1.07,2.314,1,8.16113,Cbc
